iter	Passed	Remaining
330	2713	5483
331	2720	5472
332	2728	5465
333	2735	5454
334	2742	5444
335	2749	5433
336	2757	5424
337	2765	5416
338	2773	5408
339	2782	5400
340	2789	5391
341	2796	5381
342	2804	5372
343	2811	5362
344	2820	5355
345	2827	5344
346	2833	5332
347	2842	5325
348	2848	5313
349	2856	5305
350	2862	5293
351	2870	5284
352	2877	5273
353	2884	5263
354	2891	5252
355	2897	5241
356	2906	5234
357	2913	5225
358	2927	5226
359	2935	5219
360	2943	5211
361	2950	5200
362	2957	5190
363	2963	5178
364	2971	5170
365	2978	5158
366	2986	5150
367	2992	5139
368	2998	5127
369	3005	5118
370	3012	5107
371	3020	5099
372	3027	5088
373	3035	5080
374	3042	5070
375	3049	5061
376	3056	5050
377	3062	5039
378	3071	5032
379	3081	5027
380	3088	5017
381	3094	5007
382	3102	4998
383	3109	4987
384	3117	4979
385	3123	4968
386	3131	4959
387	3140	4953
388	3150	4948
389	3159	4941
390	3170	4937
391	3179	4930
392	3189	4925
393	3200	4923
394	3212	4920
395	3224	4917
396	3236	4915
397	3245	4909
398	3256	4904
399	3266	4899
400	3278	4897
401	3290	4895
402	3303	4893
403	3311	4885
404	3322	4880
405	3331	4874
406	3340	4866
407	3350	4860
408	3356	4850
409	3366	4843
410	3374	4835
411	3383	4828
412	3390	4819
413	3400	4813
414	3408	4804
415	3417	4797
416	3423	4786
417	3432	4779
418	3439	4769
419	3448	4761
420	3454	4750
421	3462	4743
422	3469	4732
423	3476	4722
424	3483	4712
425	3490	4702
426	3499	4696
427	3507	4687
428	3518	4683
429	3526	4674
430	3536	4668
431	3543	4659
432	3555	4656
433	3564	4648
434	3572	4640
435	3581	4632
436	3588	4623
437	3597	4616
438	3605	4607
439	3614	4599
440	3621	4590
441	3630	4582
442	3637	4573
443	3646	4566
444	3653	4556
445	3661	4548
446	3667	4537
447	3675	4529
448	3682	4518
449	3688	4508
450	3695	4498
451	3702	4488
452	3710	4480
453	3717	4470
454	3725	4462
455	3732	4453
456	3741	4445
457	3749	4437
458	3758	4429
459	3766	4421
460	3773	4411
461	3779	4401
462	3786	4391
463	3793	4382
464	3800	4372
465	3808	4364
466	3815	4354
467	3823	4346
468	3834	4341
469	3849	4341
470	3859	4335
471	3867	4326
472	3878	4320
473	3884	4310
474	3894	4304
475	3902	4295
476	3911	4288
477	3918	4279
478	3942	4288
479	3980	4311
480	3994	4310
481	4005	4304
482	4011	4293
483	4017	4283
484	4026	4275
485	4032	4265
486	4042	4258
487	4049	4248
488	4058	4241
489	4064	4230
490	4074	4224
491	4081	4214
492	4094	4210
493	4104	4204
494	4110	4193
495	4119	4186
496	4125	4175
497	4132	4165
498	4142	4158
499	4149	4149
500	4157	4141
501	4164	4130
502	4172	4122
503	4179	4113
504	4188	4105
505	4195	4095
506	4203	4087
507	4210	4077
508	4218	4069
509	4225	4059
510	4231	4049
511	4240	4042
512	4247	4031
513	4255	4023
514	4261	4013
515	4270	4005
516	4277	3996
517	4287	3989
518	4295	3981
519	4305	3974
520	4313	3965
521	4323	3958
522	4330	3949
523	4341	3943
524	4352	3937
525	4361	3930
526	4375	3927
527	4387	3922
528	4397	3914
529	4407	3908
530	4417	3901
531	4426	3894
532	4439	3889
533	4451	3884
534	4460	3876
535	4470	3870
536	4479	3862
537	4489	3855
538	4499	3848
539	4510	3842
540	4522	3837
541	4533	3830
542	4541	3822
543	4553	3816
544	4560	3807
545	4570	3800
546	4577	3790
547	4588	3784
548	4598	3777
549	4605	3768
550	4615	3760
551	4622	3751
552	4632	3744
553	4641	3736
554	4650	3728
555	4658	3719
556	4667	3711
557	4673	3702
558	4682	3693
559	4688	3683
560	4696	3675
561	4703	3665
562	4711	3657
563	4731	3657
564	4738	3648
565	4749	3641
566	4757	3632
567	4766	3625
568	4774	3616
569	4784	3608
570	4791	3599
571	4800	3592
572	4807	3582
573	4816	3574
574	4823	3565
575	4832	3557
576	4839	3547
577	4848	3540
578	4855	3530
579	4863	3522
580	4870	3512
581	4878	3503
582	4884	3493
583	4893	3485
584	4899	3475
585	4906	3466
586	4914	3458
587	4921	3448
588	4929	3440
589	4936	3430
590	4947	3423
591	4953	3413
592	4962	3405
593	4969	3396
594	4978	3388
595	4984	3378
596	4992	3370
597	4998	3360
598	5005	3350
599	5014	3343
600	5025	3336
601	5043	3334
602	5052	3326
603	5065	3320
604	5076	3314
605	5085	3306
606	5095	3298
607	5102	3289
608	5111	3281
609	5118	3272
610	5128	3265
611	5136	3256
612	5146	3249
613	5156	3241
614	5165	3233
615	5176	3226
616	5190	3221
617	5198	3213
618	5208	3205
619	5216	3197
620	5225	3189
621	5232	3180
622	5241	3171
623	5248	3162
624	5258	3155
625	5267	3147
626	5278	3139
627	5288	3132
628	5296	3124
629	5304	3115
630	5312	3106
631	5323	3099
632	5330	3090
633	5338	3082
634	5345	3072
635	5353	3064
636	5360	3054
637	5366	3044
638	5376	3037
639	5384	3028
640	5393	3020
641	5399	3010
642	5407	3002
643	5414	2993
644	5422	2984
645	5429	2975
646	5436	2966
647	5443	2957
648	5450	2947
649	5457	2938
650	5464	2929
651	5473	2921
652	5479	2911
653	5487	2903
654	5494	2893
655	5502	2885
656	5509	2876
657	5515	2866
658	5523	2858
659	5529	2848
660	5537	2840
661	5544	2830
662	5552	2822
663	5558	2812
664	5565	2803
665	5574	2795
666	5581	2786
667	5589	2777
668	5595	2768
669	5604	2760
670	5610	2751
671	5619	2742
672	5625	2733
673	5633	2724
674	5640	2715
675	5646	2706
676	5654	2697
677	5660	2688
678	5669	2680
679	5675	2670
680	5683	2662
681	5689	2652
682	5696	2643
683	5705	2635
684	5712	2626
685	5721	2619
686	5730	2610
687	5738	2602
688	5745	2593
689	5753	2584
690	5759	2575
691	5767	2567
692	5774	2558
693	5783	2550
694	5790	2540
695	5798	2532
696	5805	2523
697	5813	2515
698	5819	2505
699	5825	2496
700	5834	2488
701	5840	2479
702	5849	2471
703	5855	2461
704	5863	2453
705	5869	2444
706	5876	2435
707	5884	2426
708	5891	2417
709	5900	2409
710	5906	2401
711	5915	2392
712	5922	2383
713	5930	2375
714	5937	2366
715	5945	2358
716	5951	2349
717	5957	2339
718	5966	2331
719	5973	2322
720	5981	2314
721	5987	2305
722	5996	2297
723	6002	2288
724	6010	2280
725	6017	2271
726	6024	2262
727	6032	2253
728	6038	2244
729	6046	2236
730	6053	2227
731	6061	2219
732	6067	2210
733	6075	2201
734	6082	2192
735	6088	2183
736	6100	2176
737	6110	2169
738	6117	2160
739	6124	2151
740	6131	2143
741	6137	2134
742	6146	2125
743	6152	2117
744	6160	2108
745	6167	2099
746	6175	2091
747	6181	2082
748	6188	2073
749	6196	2065
750	6202	2056
751	6211	2048
752	6218	2039
753	6226	2031
754	6233	2022
755	6242	2014
756	6249	2006
757	6258	1998
758	6265	1989
759	6271	1980
760	6279	1972
761	6285	1963
762	6293	1954
763	6300	1946
764	6308	1937
765	6315	1929
766	6323	1920
767	6329	1912
768	6335	1903
769	6343	1894
770	6350	1886
771	6358	1877
772	6364	1869
773	6373	1860
774	6379	1852
775	6385	1843
776	6393	1835
777	6400	1826
778	6409	1818
779	6415	1809
780	6424	1801
781	6430	1792
782	6438	1784
783	6444	1775
784	6451	1766
785	6459	1758
786	6468	1750
787	6479	1743
788	6487	1734
789	6493	1726
790	6500	1717
791	6509	1709
792	6516	1701
793	6525	1693
794	6531	1684
795	6540	1676
796	6547	1667
797	6559	1660
798	6566	1651
799	6574	1643
800	6581	1635
801	6590	1627
802	6597	1618
803	6605	1610
804	6611	1601
805	6619	1593
806	6626	1584
807	6635	1576
808	6641	1568
809	6648	1559
810	6655	1551
811	6663	1542
812	6670	1534
813	6677	1525
814	6685	1517
815	6691	1508
816	6699	1500
817	6708	1492
818	6717	1484
819	6726	1476
820	6734	1468
821	6740	1459
822	6747	1451
823	6755	1442
824	6761	1434
825	6770	1426
826	6776	1417
827	6785	1409
828	6791	1400
829	6798	1392
830	6807	1384
831	6814	1375
832	6824	1368
833	6833	1360
834	6841	1351
835	6850	1343
836	6856	1335
837	6864	1326
838	6870	1318
839	6878	1310
840	6885	1301
841	6892	1293
842	6901	1285
843	6907	1276
844	6915	1268
845	6923	1260
846	6940	1253
847	6947	1245
848	6954	1236
849	6960	1228
850	6969	1220
851	6975	1211
852	6983	1203
853	6990	1195
854	6998	1186
855	7004	1178
856	7012	1170
857	7020	1161
858	7026	1153
859	7034	1145
860	7040	1136
861	7048	1128
862	7055	1119
863	7063	1111
864	7069	1103
865	7075	1094
866	7085	1086
867	7091	1078
868	7100	1070
869	7109	1062
870	7120	1054
871	7129	1046
872	7136	1038
873	7142	1029
874	7150	1021
875	7156	1013
876	7165	1004
877	7171	996
878	7179	988
879	7186	980
880	7196	972
881	7202	963
882	7211	955
883	7218	947
884	7227	939
885	7233	930
886	7242	922
887	7249	914
888	7256	906
889	7267	898
890	7276	890
891	7284	881
892	7291	873
893	7298	865
894	7305	857
895	7315	849
896	7321	840
897	7331	832
898	7337	824
899	7346	816
900	7352	807
901	7360	799
902	7366	791
903	7375	783
904	7381	774
905	7387	766
906	7395	758
907	7401	749
908	7410	741
909	7416	733
910	7424	725
911	7430	717
912	7436	708
913	7445	700
914	7452	692
915	7460	684
916	7467	675
917	7475	667
918	7481	659
919	7487	651
920	7495	642
921	7501	634
922	7510	626
923	7516	618
924	7524	610
925	7530	601
926	7537	593
927	7545	585
928	7552	577
929	7560	569
930	7566	560
931	7575	552
932	7581	544
933	7589	536
934	7595	528
935	7601	519
936	7626	512
937	7632	504
938	7641	496
939	7647	488
940	7655	479
941	7662	471
942	7670	463
943	7677	455
944	7685	447
945	7693	439
946	7701	431
947	7710	422
948	7719	414
949	7726	406
950	7732	398
951	7740	390
952	7747	382
953	7758	374
954	7765	365
955	7773	357
956	7780	349
957	7788	341
958	7795	333
959	7806	325
960	7813	317
961	7821	308
962	7828	300
963	7836	292
964	7842	284
965	7850	276
966	7858	268
967	7864	259
968	7872	251
969	7878	243
970	7887	235
971	7893	227
972	7901	219
973	7908	211
974	7916	202
975	7922	194
976	7928	186
977	7936	178
978	7943	170
979	7952	162
980	7958	154
981	7967	146
982	7975	137
983	7985	129
984	7992	121
985	8001	113
986	8008	105
987	8017	97
988	8023	89
989	8032	81
990	8038	73
991	8046	64
992	8053	56
993	8060	48
994	8072	40
995	8080	32
996	8088	24
997	8095	16
998	8105	8
999	8115	0
