name,model_type,metric_type,metric_value,train_time
80_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.26576389109149123,23.89
81_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.2555368180033068,24.07
82_NeuralNetwork,Neural Network,logloss,0.3033016891173913,25.05
83_NeuralNetwork,Neural Network,logloss,0.3214135382743683,25.59
84_NeuralNetwork,Neural Network,logloss,0.3187259327904121,25.65
85_NearestNeighbors,Nearest Neighbors,logloss,0.7952847349282985,24.03
86_NearestNeighbors,Nearest Neighbors,logloss,0.7952847349282985,23.85
87_LightGBM_SelectedFeatures,LightGBM,logloss,0.13559385212819666,23.06
88_LightGBM_SelectedFeatures,LightGBM,logloss,0.13680191122167076,23.1
89_LightGBM_SelectedFeatures,LightGBM,logloss,0.13559385212819666,22.99
90_LightGBM_SelectedFeatures,LightGBM,logloss,0.13680191122167076,23.74
91_LightGBM_SelectedFeatures,LightGBM,logloss,0.13559385212819666,23.25
92_LightGBM_SelectedFeatures,LightGBM,logloss,0.13680191122167076,24.0
93_Xgboost_SelectedFeatures,Xgboost,logloss,0.16592805447533274,24.25
94_Xgboost_SelectedFeatures,Xgboost,logloss,0.16863159455911933,23.91
95_Xgboost_SelectedFeatures,Xgboost,logloss,0.1684484520037095,25.04
96_CatBoost,CatBoost,logloss,0.1779695714651745,41.62
97_CatBoost,CatBoost,logloss,0.18645986053308025,59.29
98_CatBoost,CatBoost,logloss,0.17238915661636986,37.38
99_ExtraTrees,Extra Trees,logloss,0.24984130005631852,43.58
100_ExtraTrees,Extra Trees,logloss,0.2506963937222497,37.7
101_ExtraTrees_SelectedFeatures,Extra Trees,logloss,0.2401175387707573,27.4
102_ExtraTrees_SelectedFeatures,Extra Trees,logloss,0.25611465790464016,35.47
103_ExtraTrees,Extra Trees,logloss,0.25681004544448954,40.63
104_ExtraTrees,Extra Trees,logloss,0.2570570601667924,39.02
105_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.29860802850930723,26.12
Ensemble,Ensemble,logloss,0.1339575867026595,93.88
91_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.14874396342690174,30.18
65_Xgboost_SelectedFeatures_Stacked,Xgboost,logloss,0.14136911354227383,27.16
98_CatBoost_Stacked,CatBoost,logloss,0.13097181429603366,41.15
101_ExtraTrees_SelectedFeatures_Stacked,Extra Trees,logloss,0.13718493593154316,33.66
81_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,logloss,0.22732823349710535,30.17
87_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.14874396342690174,26.35
2_Default_Xgboost_SelectedFeatures_Stacked,Xgboost,logloss,0.14062072607696105,28.25
70_CatBoost_Stacked,CatBoost,logloss,0.14103254829397083,46.77
99_ExtraTrees_Stacked,Extra Trees,logloss,0.1412642463844971,45.87
47_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,logloss,0.273285521726752,29.29
89_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.14874396342690174,27.15
64_Xgboost_SelectedFeatures_Stacked,Xgboost,logloss,0.14273392120499642,29.5
32_CatBoost_Stacked,CatBoost,logloss,0.1424334862118387,57.21
100_ExtraTrees_Stacked,Extra Trees,logloss,0.13861294769663657,49.81
80_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,logloss,0.26401699023946174,30.87
92_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.15022684981561316,28.32
2_Default_Xgboost_categorical_mix_Stacked,Xgboost,logloss,0.1505740201541929,32.5
73_CatBoost_Stacked,CatBoost,logloss,0.1430973504417103,39.79
35_ExtraTrees_Stacked,Extra Trees,logloss,0.13297339364418545,49.22
47_NeuralNetwork_Stacked,Neural Network,logloss,0.28534717256207054,32.86
90_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.15022684981561316,29.31
2_Default_Xgboost_Stacked,Xgboost,logloss,0.1505740201541929,32.74
27_CatBoost_Stacked,CatBoost,logloss,0.14310124411421773,56.53
79_ExtraTrees_SelectedFeatures_Stacked,Extra Trees,logloss,0.14234045204470858,35.92
48_NeuralNetwork_Stacked,Neural Network,logloss,0.22016042392624005,33.99
88_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.15022684981561316,29.81
66_Xgboost_Stacked,Xgboost,logloss,0.14942773256443473,35.15
29_CatBoost_Stacked,CatBoost,logloss,0.13682614946039728,47.05
39_ExtraTrees_Stacked,Extra Trees,logloss,0.14318242556403796,50.71
105_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,logloss,0.2980776888959162,33.29
60_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.15077679599404228,33.2
68_Xgboost_Stacked,Xgboost,logloss,0.14942773256443473,35.57
96_CatBoost_Stacked,CatBoost,logloss,0.13851535938162668,48.8
75_ExtraTrees_Stacked,Extra Trees,logloss,0.14485091903277766,53.0
82_NeuralNetwork_Stacked,Neural Network,logloss,0.2232183186229617,34.53
59_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.15077679599404228,30.57
15_Xgboost_Stacked,Xgboost,logloss,0.14622910298789424,35.83
32_CatBoost_SelectedFeatures_Stacked,CatBoost,logloss,0.14199006000329076,53.79
102_ExtraTrees_SelectedFeatures_Stacked,Extra Trees,logloss,0.14224646965087634,37.72
84_NeuralNetwork_Stacked,Neural Network,logloss,0.25349007380475824,35.18
22_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.15077679599404228,32.16
8_Xgboost_Stacked,Xgboost,logloss,0.15107907646242555,34.95
30_CatBoost_Stacked,CatBoost,logloss,0.14252164418105337,38.81
103_ExtraTrees_Stacked,Extra Trees,logloss,0.1423022242400224,50.79
